,timestamp,lp
2023-06-28 14:47:11.832333,,588.2
2023-06-28 14:47:12.725262,,588.0
2023-06-28 14:47:13.727065,,588.1
2023-06-28 14:47:13.777033,,588.05
2023-06-28 14:47:14.726131,,588.2
2023-06-28 14:47:15.733791,,588.25
2023-06-28 14:47:16.726593,,588.3
2023-06-28 14:47:16.786097,,588.25
2023-06-28 14:47:17.744862,,588.2
2023-06-28 14:47:17.992053,,588.3
2023-06-28 14:47:18.986885,,588.25
2023-06-28 14:47:19.589512,,588.3
2023-06-28 14:47:20.587016,,588.35
2023-06-28 14:47:11.832333,,588.2
2023-06-28 14:47:12.725262,,588.0
2023-06-28 14:47:13.727065,,588.1
2023-06-28 14:47:13.777033,,588.05
2023-06-28 14:47:14.726131,,588.2
2023-06-28 14:47:15.733791,,588.25
2023-06-28 14:47:16.726593,,588.3
2023-06-28 14:47:16.786097,,588.25
2023-06-28 14:47:17.744862,,588.2
2023-06-28 14:47:17.992053,,588.3
2023-06-28 14:47:18.986885,,588.25
2023-06-28 14:47:19.589512,,588.3
2023-06-28 14:47:20.587016,,588.35
2023-06-28 14:47:11.832333,,588.2
2023-06-28 14:47:12.725262,,588.0
2023-06-28 14:47:13.727065,,588.1
2023-06-28 14:47:13.777033,,588.05
2023-06-28 14:47:14.726131,,588.2
2023-06-28 14:47:15.733791,,588.25
2023-06-28 14:47:16.726593,,588.3
2023-06-28 14:47:16.786097,,588.25
2023-06-28 14:47:17.744862,,588.2
2023-06-28 14:47:17.992053,,588.3
2023-06-28 14:47:18.986885,,588.25
2023-06-28 14:47:19.589512,,588.3
2023-06-28 14:47:20.587016,,588.35
2023-06-28 14:47:21.730309,,588.3
2023-06-28 14:47:24.732055,,588.4
2023-06-28 14:47:26.729099,,588.3
2023-06-28 14:47:28.018784,,588.4
2023-06-28 14:47:28.728662,,588.3
2023-06-28 14:47:29.031067,,588.35
2023-06-28 14:47:29.728102,,588.3
2023-06-28 14:47:30.736114,,588.35
2023-06-28 14:47:31.021116,,588.3
2023-06-28 14:47:33.742288,,588.35
2023-06-28 14:47:34.009123,,588.3
2023-06-28 14:47:35.014804,,588.2
2023-06-28 14:47:35.730410,,588.3
2023-06-28 14:47:36.015443,,588.2
2023-06-28 14:47:36.738703,,588.3
2023-06-28 14:47:37.732520,,588.2
2023-06-28 14:47:38.418872,,588.3
2023-06-28 14:47:39.743035,,588.2
2023-06-28 14:47:40.417177,,588.3
2023-06-28 14:47:42.625124,,588.4
2023-06-28 14:47:43.633127,,588.3
2023-06-28 14:47:46.627383,,588.25
2023-06-28 14:47:46.749305,,588.3
2023-06-28 14:47:52.635742,,588.25
2023-06-28 14:47:54.739314,,588.3
