,timestamp,lp
2023-06-28 16:24:33.269696,,5604.0
2023-06-28 16:25:01.458092,,5602.0
2023-06-28 16:25:19.581183,,5603.0
2023-06-28 16:25:20.827236,,5604.0
2023-06-28 16:25:27.188853,,5602.0
2023-06-28 16:25:30.631721,,5603.0
2023-06-28 16:25:31.452214,,5602.0
2023-06-28 16:25:50.892184,,5601.0
2023-06-28 16:25:52.819993,,5602.0
2023-06-28 16:26:07.786732,,5601.0
2023-06-28 16:26:29.570761,,5597.0
2023-06-28 16:26:30.431229,,5594.0
2023-06-28 16:26:32.435989,,5592.0
2023-06-28 16:26:39.458210,,5593.0
2023-06-28 16:26:40.296691,,5594.0
2023-06-28 16:26:44.872866,,5593.0
2023-06-28 16:26:46.274232,,5592.0
2023-06-28 16:26:46.876853,,5594.0
2023-06-28 16:26:50.688843,,5593.0
2023-06-28 16:26:51.220516,,5592.0
2023-06-28 16:26:54.092737,,5591.0
2023-06-28 16:26:57.587574,,5590.0
2023-06-28 16:26:59.508385,,5588.0
2023-06-28 16:27:05.936905,,5590.0
2023-06-28 16:27:20.786781,,5589.0
2023-06-28 16:27:23.197289,,5590.0
2023-06-28 16:27:25.848989,,5588.0
2023-06-28 16:27:29.866500,,5590.0
2023-06-28 16:27:38.214336,,5588.0
2023-06-28 16:27:40.337024,,5587.0
2023-06-28 16:27:42.829481,,5585.0
2023-06-28 16:27:43.435106,,5586.0
2023-06-28 16:27:50.853516,,5587.0
2023-06-28 16:27:54.878026,,5585.0
2023-06-28 16:27:57.069668,,5584.0
2023-06-28 16:28:00.077808,,5586.0
2023-06-28 16:28:02.293436,,5584.0
2023-06-28 16:28:08.492601,,5583.0
2023-06-28 16:28:15.279400,,5586.0
2023-06-28 16:28:16.913390,,5584.0
2023-06-28 16:28:22.153147,,5585.0
2023-06-28 16:28:24.723556,,5584.0
2023-06-28 16:28:24.765532,,5583.0
2023-06-28 16:28:26.537435,,5582.0
2023-06-28 16:28:29.730458,,5579.0
2023-06-28 16:28:32.154423,,5580.0
2023-06-28 16:28:34.562976,,5581.0
2023-06-28 16:28:35.547298,,5579.0
2023-06-28 16:28:38.756849,,5581.0
2023-06-28 16:28:39.972995,,5580.0
2023-06-28 16:28:41.172306,,5581.0
2023-06-28 16:28:42.772864,,5580.0
2023-06-28 16:28:47.156137,,5581.0
2023-06-28 16:28:48.184650,,5580.0
