,timestamp,lp
2023-06-28 15:21:30.101225,,586.95
2023-06-28 15:21:30.204628,,586.75
2023-06-28 15:21:32.200497,,586.8
2023-06-28 15:21:32.949276,,586.75
2023-06-28 15:21:35.200620,,587.0
2023-06-28 15:21:35.555868,,586.7
2023-06-28 15:21:36.199509,,586.75
2023-06-28 15:21:36.561179,,586.7
2023-06-28 15:21:37.756431,,586.75
2023-06-28 15:21:41.962493,,586.65
2023-06-28 15:21:42.201240,,586.7
2023-06-28 15:21:43.166385,,586.65
2023-06-28 15:21:44.171815,,586.7
2023-06-28 15:21:46.201720,,586.55
2023-06-28 15:21:47.201540,,586.6
2023-06-28 15:21:47.572189,,586.8
2023-06-28 15:21:48.205320,,586.7
2023-06-28 15:21:49.571649,,586.55
2023-06-28 15:21:51.203453,,586.65
2023-06-28 15:21:51.773641,,586.55
2023-06-28 15:21:52.208288,,586.65
2023-06-28 15:21:52.774842,,586.6
